Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of Macrophage Differentiation (GO:0045649),2/14,0.00011415310511857052,0.0215861926595562,0,0,158.45238095238096,1438.4259580631342,LIF;INHBA
GO_Biological_Process_2023,Protein Localization To Cell-Cell Junction (GO:0150105),2/15,0.0001316231259729039,0.0215861926595562,0,0,146.25641025641025,1306.8840737214405,DSP;LSR
GO_Biological_Process_2023,Peptide Cross-Linking (GO:0018149),2/27,0.0004363226617166182,0.0477046110143502,0,0,76.00761904761904,588.0807184774015,DSP;CSTA
GO_Biological_Process_2023,Skeletal System Development (GO:0001501),3/149,0.0006432861940546505,0.0527494679124813,0,0,20.37431506849315,149.72922862608064,COMP;MYOC;OGN
GO_Biological_Process_2023,Keratinocyte Differentiation (GO:0030216),2/42,0.0010591357986062,0.0635265748433592,0,0,47.46904761904762,325.1773112597911,DSP;CSTA
GO_Biological_Process_2023,Bone Development (GO:0060348),2/44,0.001162071491037,0.0635265748433592,0,0,45.204081632653065,305.4688914851312,MYOC;OGN
GO_Biological_Process_2023,Heterophilic Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules (GO:0007157),2/49,0.0014395683109597,0.0674540579992566,0,0,40.38500506585613,264.2557265415928,CRTAM;SELE
GO_Biological_Process_2023,Epidermal Cell Differentiation (GO:0009913),2/54,0.0017456137398424,0.0715701633335402,0,0,36.49267399267399,231.752166218624,DSP;CSTA
GO_Biological_Process_2023,Skin Development (GO:0043588),2/68,0.0027518072427276,0.0842124786526694,0,0,28.73160173160173,169.38708342077788,DSP;CSTA
GO_Biological_Process_2023,Regulation Of Type II Interferon Production (GO:0032649),2/87,0.0044596059176455,0.0842124786526694,0,0,22.287955182072828,120.63790081333988,CRTAM;INHBA
GO_Biological_Process_2023,Establishment Of Lymphocyte Polarity (GO:0001767),1/5,0.0057372891133286,0.0842124786526694,0,0,226.9659090909091,1171.3185051583378,CRTAM
GO_Biological_Process_2023,Striated Muscle Hypertrophy (GO:0014897),1/5,0.0057372891133286,0.0842124786526694,0,0,226.9659090909091,1171.3185051583378,MYOC
GO_Biological_Process_2023,Positive Regulation Of Natural Killer Cell Mediated Cytotoxicity Directed Against Tumor Cell Target (GO:0002860),1/5,0.0057372891133286,0.0842124786526694,0,0,226.9659090909091,1171.3185051583378,CRTAM
GO_Biological_Process_2023,Positive Regulation Of Natural Killer Cell Mediated Immune Response To Tumor Cell (GO:0002857),1/5,0.0057372891133286,0.0842124786526694,0,0,226.9659090909091,1171.3185051583378,CRTAM
GO_Biological_Process_2023,Ventricular Compact Myocardium Morphogenesis (GO:0003223),1/5,0.0057372891133286,0.0842124786526694,0,0,226.9659090909091,1171.3185051583378,DSP
GO_Biological_Process_2023,Regulation Of Apoptotic DNA Fragmentation (GO:1902510),1/5,0.0057372891133286,0.0842124786526694,0,0,226.9659090909091,1171.3185051583378,CIDEA
GO_Biological_Process_2023,Positive Regulation Of Epithelial Cell Differentiation Involved In Kidney Development (GO:2000698),1/5,0.0057372891133286,0.0842124786526694,0,0,226.9659090909091,1171.3185051583378,LIF
GO_Biological_Process_2023,Bundle Of His cell-Purkinje Myocyte Adhesion Involved In Cell Communication (GO:0086073),1/5,0.0057372891133286,0.0842124786526694,0,0,226.9659090909091,1171.3185051583378,DSP
GO_Biological_Process_2023,Lymphocyte Migration Into Lymphoid Organs (GO:0097021),1/6,0.0068809683244201,0.0842124786526694,0,0,181.5636363636364,904.0045996114618,CRTAM
GO_Biological_Process_2023,Cardiac Muscle Cell-Cardiac Muscle Cell Adhesion (GO:0086042),1/6,0.0068809683244201,0.0842124786526694,0,0,181.5636363636364,904.0045996114618,DSP
GO_Biological_Process_2023,Positive Regulation Of Leukocyte Tethering Or Rolling (GO:1903238),1/6,0.0068809683244201,0.0842124786526694,0,0,181.5636363636364,904.0045996114618,SELE
GO_Biological_Process_2023,Negative Regulation Of Lymphocyte Differentiation (GO:0045620),1/6,0.0068809683244201,0.0842124786526694,0,0,181.5636363636364,904.0045996114618,INHBA
GO_Biological_Process_2023,Positive Regulation Of Membrane Depolarization (GO:1904181),1/6,0.0068809683244201,0.0842124786526694,0,0,181.5636363636364,904.0045996114618,MYOC
GO_Biological_Process_2023,Desmosome Organization (GO:0002934),1/6,0.0068809683244201,0.0842124786526694,0,0,181.5636363636364,904.0045996114618,DSP
GO_Biological_Process_2023,Regulation Of Natural Killer Cell Mediated Cytotoxicity Directed Against Tumor Cell Target (GO:0002858),1/7,0.0080233898041786,0.0842124786526694,0,0,151.29545454545453,730.0602205833903,CRTAM
GO_Biological_Process_2023,Peripheral Nervous System Axon Ensheathment (GO:0032292),1/8,0.0091645547457302,0.0842124786526694,0,0,129.67532467532467,608.4900471331728,MYOC
GO_Biological_Process_2023,Schwann Cell Development (GO:0014044),1/8,0.0091645547457302,0.0842124786526694,0,0,129.67532467532467,608.4900471331728,MYOC
GO_Biological_Process_2023,T Cell Mediated Cytotoxicity (GO:0001913),1/8,0.0091645547457302,0.0842124786526694,0,0,129.67532467532467,608.4900471331728,CRTAM
GO_Biological_Process_2023,Positive Regulation Of Sequestering Of Triglyceride (GO:0010890),1/8,0.0091645547457302,0.0842124786526694,0,0,129.67532467532467,608.4900471331728,CIDEA
GO_Biological_Process_2023,Regulation Of Nephron Tubule Epithelial Cell Differentiation (GO:0072182),1/8,0.0091645547457302,0.0842124786526694,0,0,129.67532467532467,608.4900471331728,LIF
GO_Biological_Process_2023,Neuronal Ion Channel Clustering (GO:0045161),1/8,0.0091645547457302,0.0842124786526694,0,0,129.67532467532467,608.4900471331728,MYOC
GO_Biological_Process_2023,Lactation (GO:0007595),1/8,0.0091645547457302,0.0842124786526694,0,0,129.67532467532467,608.4900471331728,OXTR
GO_Biological_Process_2023,Bundle Of His Cell To Purkinje Myocyte Communication (GO:0086069),1/8,0.0091645547457302,0.0842124786526694,0,0,129.67532467532467,608.4900471331728,DSP
GO_Biological_Process_2023,Positive Regulation Of Multicellular Organismal Process (GO:0051240),3/387,0.0095519697778262,0.0842124786526694,0,0,7.653515625,35.5965615297938,OXTR;CRTAM;INHBA
GO_Biological_Process_2023,Negative Regulation Of Hormone Secretion (GO:0046888),1/9,0.0103044643785071,0.0842124786526694,0,0,113.46022727272728,519.1007405544717,LIF
GO_Biological_Process_2023,Regulation Of Store-Operated Calcium Entry (GO:2001256),1/9,0.0103044643785071,0.0842124786526694,0,0,113.46022727272728,519.1007405544717,EFHB
GO_Biological_Process_2023,"Regulation Of CD8-positive, Alpha-Beta T Cell Activation (GO:2001185)",1/9,0.0103044643785071,0.0842124786526694,0,0,113.46022727272728,519.1007405544717,CRTAM
GO_Biological_Process_2023,Oxygen Transport (GO:0015671),1/10,0.0114431199495764,0.0842124786526694,0,0,100.84848484848484,450.8296990682604,HBB
GO_Biological_Process_2023,Positive Regulation Of Macrophage Differentiation (GO:0045651),1/10,0.0114431199495764,0.0842124786526694,0,0,100.84848484848484,450.8296990682604,LIF
GO_Biological_Process_2023,Positive Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway (GO:1901030),1/10,0.0114431199495764,0.0842124786526694,0,0,100.84848484848484,450.8296990682604,GZMB
GO_Biological_Process_2023,Regulation Of Mitochondrial Depolarization (GO:0051900),1/10,0.0114431199495764,0.0842124786526694,0,0,100.84848484848484,450.8296990682604,MYOC
GO_Biological_Process_2023,Negative Regulation Of Activated T Cell Proliferation (GO:0046007),1/10,0.0114431199495764,0.0842124786526694,0,0,100.84848484848484,450.8296990682604,CRTAM
GO_Biological_Process_2023,Regulation Of Cold-Induced Thermogenesis (GO:0120161),2/146,0.0121105141609918,0.0842124786526694,0,0,13.117063492063492,57.89453738363223,OXTR;CIDEA
GO_Biological_Process_2023,Negative Regulation Of Protein Metabolic Process (GO:0051248),2/147,0.0122690254278839,0.0842124786526694,0,0,13.025944170771757,57.32297878566489,CSTA;GZMB
GO_Biological_Process_2023,Epithelial Cell-Cell Adhesion (GO:0090136),1/11,0.0125805227255512,0.0842124786526694,0,0,90.75909090909092,397.1259752205777,DSP
GO_Biological_Process_2023,Carbon Dioxide Transport (GO:0015670),1/11,0.0125805227255512,0.0842124786526694,0,0,90.75909090909092,397.1259752205777,HBB
GO_Biological_Process_2023,Regulation Of Ventricular Cardiac Muscle Cell Action Potential (GO:0098911),1/11,0.0125805227255512,0.0842124786526694,0,0,90.75909090909092,397.1259752205777,DSP
GO_Biological_Process_2023,Regulation Of Leukocyte Tethering Or Rolling (GO:1903236),1/11,0.0125805227255512,0.0842124786526694,0,0,90.75909090909092,397.1259752205777,SELE
